Compound,Formula,KEGG_ID,Weight,PLF,PNC,PNE,Palsa_T0,I_Palsa_C1,I_Palsa_C2,I_Palsa_N1,I_Palsa_N2,I_Palsa_E2,I_Palsa_E1,II_Palsa_C1,II_Palsa_C2,II_Palsa_N1,II_Palsa_N2,II_Palsa_E1,II_Palsa_E2,III_Palsa_C1,III_Palsa_C2,III_Palsa_N1,III_Palsa_N2,III_Palsa_E1,III_Palsa_E2,IV_Palsa_F1,IV_Palsa_F2
4-Aminobutyrate,C4H9NO2,C00334,103.1198,70.707,170.607,0,5.328,6.771,6.549,9.99,12.987,7.437,0,0,0,6.993,9.657,0,3.996,7.992,14.874,8.325,11.544,7.548,3.33,8.769,8.103
4-Hydroxybenzoate,C7H6O3,C00156,138.1207,16.761,9.879,9.99,5.328,6.327,5.772,12.876,5.217,8.769,3.996,13.431,4.329,11.877,12.987,10.545,7.77,6.438,6.105,10.878,8.88,8.88,9.102,4.551,8.547
Acetate,C2H4O2,C00033,60.052,74.037,157.731,62.382,23.199,35.52,8.769,40.293,42.624,54.612,8.991,58.608,11.544,33.522,71.595,38.628,46.731,31.857,97.902,41.625,66.933,37.185,56.61,26.196,109.002
Acetone,C3H6O,C00207,58.0791,0,0,0,1.332,1.332,0.999,2.442,0,0,1.11,1.776,0.999,1.887,1.665,1.221,1.11,1.554,1.998,1.11,1.887,0.777,1.221,0.888,1.665
Adenosine,C10H13N5O4,C00212,267.2413,0,17.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alanine,C3H7NO2,C00041,89.0932,339.882,933.288,125.874,15.984,7.437,8.325,15.762,15.762,12.099,8.769,11.1,12.654,18.981,16.095,8.325,9.102,12.654,17.649,17.538,20.424,13.653,10.434,21.201,17.649
Asparagine,C4H8N2O3,C00152,132.1179,13.653,253.413,77.034,0,0,12.432,0,0,53.724,0,10.878,18.315,24.642,16.983,7.77,7.881,19.092,21.09,28.416,46.176,35.298,15.984,206.571,20.535
Aspartate,C4H7NO4,C00049,133.1027,19.092,29.304,0,0,0,0,0,0,0,0,0,0,7.215,0,0,0,0,0,0,8.769,0,0,0,0
Betaine,C5H11NO2,C00719,117.1463,17.316,25.086,24.198,3.996,4.329,4.329,26.418,22.644,19.425,19.758,3.33,4.44,13.764,13.764,8.769,8.991,4.329,4.995,10.101,17.427,8.658,8.547,4.551,4.44
Chlorogenate,C16H18O9,C00852,354.3087,250.527,53.169,0,0,0,0,0,0,11.544,0,0,0,0,0,0,0,0,0,0,0,0,0,24.42,0
Choline,C5H14NO,C00114,104.1708,106.782,190.476,111.333,4.551,5.994,7.881,8.436,6.771,10.878,6.327,3.663,2.997,4.773,6.327,3.108,3.108,3.33,3.774,3.996,8.991,3.663,3.108,6.771,3.441
Cinnamate,C9H8O2,C00423,148.1586,22.866,38.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D-Glucurono-6,3-lactone",C6H8O6,C02670,176.1241,0,0,0,202.575,272.283,239.205,137.085,124.653,143.079,181.263,384.726,370.296,206.793,189.921,227.106,133.533,182.595,159.618,36.075,71.262,67.821,98.457,125.541,179.043
Dimethyl sulfone,C2H6O2S,C11142,94.1328,0,0,0,0,7.77,13.875,16.761,9.546,17.649,8.436,2.109,11.1,2.997,5.661,0.888,0.999,3.774,7.437,2.109,4.884,0.999,2.109,10.101,4.884
Dimethylamine,C2H7N,C00543,45.0837,6.549,5.439,0,0,37.629,190.809,357.864,69.597,593.184,80.142,4.662,59.052,5.217,17.427,0.777,1.11,10.989,90.909,4.44,17.982,1.221,4.44,113.997,24.087
Formate,CH2O2,C00058,46.0254,94.794,51.726,33.3,106.116,16.983,30.303,49.617,98.679,82.251,56.61,36.63,34.188,179.376,97.014,56.166,59.496,61.827,77.589,65.823,70.485,116.55,90.798,59.496,95.127
Fructose,C6H12O6,C00095,180.1559,4793.646,2080.695,1122.099,250.749,408.036,424.02,199.356,44.178,387.279,59.496,163.281,106.338,210.678,344.766,118.881,128.316,131.202,276.39,368.742,445.554,213.231,121.989,328.116,137.862
Fumarate,C4H4O4,C00122,116.0722,25.974,102.786,9.546,0,0,0,1.776,0,2.109,0,1.554,0,0,0,0,0,0,0,2.109,3.108,0,2.331,0,0
Galactose,C6H12O6,C00124,180.1559,46.287,67.377,33.855,107.115,58.941,59.052,23.976,29.526,48.507,42.291,97.014,82.14,53.391,50.394,46.176,33.966,85.692,42.069,29.304,36.963,32.523,34.743,50.838,58.941
Gallate,C7H6O5,C01424,170.1195,0,0,0,5.994,5.55,4.884,8.769,7.437,6.438,4.107,9.102,3.108,9.435,18.426,8.769,9.657,6.216,7.437,7.77,14.874,5.328,6.327,4.884,7.326
Glucose,C6H12O6,C00031,180.1559,4927.29,2220.444,518.259,593.628,367.854,570.651,196.692,143.634,466.089,102.786,192.474,158.397,363.192,406.593,118.548,101.232,156.843,437.673,497.391,750.693,427.017,220.335,449.772,352.758
