id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
1_palsa_ms2_spectra_MW_432.19974RT_30.616	C21H28N4O6	[M - H]-	C21H28N4O6	Amino acids and Peptides	0.5161101818084717	Small peptides	0.1953173130750656	Dipeptides	0.08394884318113327	Alpha amino acids and derivatives	0.6564913392066956	Amino acids and derivatives	0.8841825723648071	Amino acids, peptides, and analogues	0.8912408947944641	Carboxylic acids and derivatives	0.957109272480011	Organic acids and derivatives	0.9962369203567505	Organic compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Phenols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Glycosyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities	MW_432.19974@RT_30.616
2_palsa_ms2_spectra_MW_610.15435RT_22.514	C29H22N8O8	[M - H]-	C29H22N8O8	Alkaloids	0.6891757249832153	Tryptophan alkaloids	0.45309215784072876	Azo and Azoxy alkaloids	0.07362207025289536	Nitrobenzenes	0.7884633541107178			Nitrobenzenes	0.7884633541107178	Benzene and substituted derivatives	0.8353413939476013	Benzenoids	0.9994266033172607	Organic compounds; Organoheterocyclic compounds; Nitrobenzenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Organic nitro compounds; Organic oxoazanium compounds; Benzene and substituted derivatives; Benzenoids; Amines; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; C-nitro compounds; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities	MW_610.15435@RT_22.514
3_palsa_ms2_spectra_MW_914.17824RT_23.653	C36H34N8O21	[M - H]-	C36H34N8O21	Shikimates and Phenylpropanoids	0.5000179409980774	Coumarins	0.29419419169425964	Simple coumarins	0.44247493147850037	Phenolic glycosides	0.7762278914451599	Glycosyl compounds	0.9519025683403015	Carbohydrates and carbohydrate conjugates	0.9915106892585754	Organooxygen compounds	0.9990766048431396	Organic oxygen compounds	0.9998912811279297	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lactones; Pyrimidines and pyrimidine derivatives; Benzopyrans; Alcohols and polyols; Coumarins and derivatives; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Pyranones and derivatives; Carboxylic acid derivatives; Organic nitro compounds; Diazines; Organic oxoazanium compounds; Monosaccharides; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzenoids; 1-benzopyrans; Allyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Phenolic glycosides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	MW_914.17824@RT_23.653
4_palsa_ms2_spectra_MW_610.15708RT_24.625	C29H22N8O8	[M - H]-	C29H22N8O8	Alkaloids	0.6337660551071167	Polycyclic aromatic polyketides	0.2949247658252716	Anthraquinones and anthrones	0.08636103570461273	Naphthols and derivatives	0.7107231616973877			Naphthols and derivatives	0.7107231616973877	Naphthalenes	0.8680680990219116	Benzenoids	0.9998480081558228	Organic compounds; Organoheterocyclic compounds; Naphthalenes; Nitrobenzenes; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azo compounds; Carboxylic acid amides; Carboxylic acid derivatives; Organic nitro compounds; Organic oxoazanium compounds; Benzene and substituted derivatives; Naphthols and derivatives; Benzenoids; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities	MW_610.15708@RT_24.625
6_palsa_ms2_spectra_MW_432.10580RT_24.021	C15H21N4O9P	[M - H]-	C15H21N4O9P	Carbohydrates	0.9080517888069153	Nucleosides	0.855030357837677	Pyrimidine nucleos(t)ides	0.6196436285972595	Pentose phosphates	0.7881487607955933	Monosaccharides	0.8757472634315491	Carbohydrates and carbohydrate conjugates	0.8524461388587952	Organooxygen compounds	0.9999980926513672	Organic oxygen compounds	0.9999972581863403	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Pyrimidones; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Aminopyrimidines and derivatives; Diazines; Pentoses; Monosaccharides; Monosaccharide phosphates; Secondary alcohols; Glycosyl compounds; Hydropyrimidines; Glycosylamines; Pentose phosphates; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Tetrahydrofurans; Alkyl phosphates; Monoalkyl phosphates; Imidolactams; Vinylogous amides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	MW_432.10580@RT_24.021
7_palsa_ms2_spectra_MW_564.14861RT_24.025	C19H28N6O12S	[M - H]-	C19H28N6O12S	Carbohydrates	0.677696943283081	Nucleosides	0.6270003914833069	Purine nucleos(t)ides	0.5532803535461426	Oligopeptides	0.5190569162368774	Peptides	0.8144849538803101	Amino acids, peptides, and analogues	0.9329873919487	Carboxylic acids and derivatives	0.8572256565093994	Organic acids and derivatives	0.990218460559845	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Alkylthiols; Pentoses; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Glycosyl compounds; Glycosylamines; Alpha amino acid amides; Amines; Primary amines; Thiols; Fatty Acyls; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Glutamine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities	MW_564.14861@RT_24.025
8_palsa_ms2_spectra_MW_578.16425RT_24.351	C20H30N6O12S	[M - H]-	C20H30N6O12S	Amino acids and Peptides	0.6065515279769897	Nucleosides	0.5853816866874695	Tripeptides	0.5914199352264404	Gamma-glutamyl peptides	0.5681391358375549	Peptides	0.9746315479278564	Amino acids, peptides, and analogues	0.9830859899520874	Carboxylic acids and derivatives	0.9771479368209839	Organic acids and derivatives	0.9971609115600586	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Alkylthiols; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Glycosylamines; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Thiols; Gamma-glutamyl peptides; Fatty Acyls; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Glutamine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities	MW_578.16425@RT_24.351
9_palsa_ms2_spectra_MW_712.40518RT_30.630	C38H56N4O9	[M - H]-	C38H56N4O9	Polyketides	0.8242958188056946	Macrolides	0.831588089466095	Ansa macrolides	0.9784627556800842	Amino acids and derivatives	0.7315426468849182	Amino acids and derivatives	0.7315426468849182	Amino acids, peptides, and analogues	0.742953896522522	Carboxylic acids and derivatives	0.9806557893753052	Organic acids and derivatives	0.9998130202293396	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Naphthalenes; Macrolactams; Ketones; Alcohols and polyols; Phenols; Hydroquinones; Lactams; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Benzofurans; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Naphthofurans; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Polyols; Naphthols and derivatives; Benzenoids; Amines; Tertiary amines; Tertiary alkylarylamines; Aryl ketones; Aryl alkyl ketones; Vinylogous acids; Dialkylarylamines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Coumarans; Ketals; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	MW_712.40518@RT_30.630
10_palsa_ms2_spectra_MW_582.19549RT_25.587	C28H30N4O10	[M - H]-	C28H30N4O10	Alkaloids	0.32552576065063477	Polycyclic aromatic polyketides	0.5321504473686218	Tetracyclines	0.8002699613571167	Tetracyclines	0.8112767338752747					Tetracyclines	0.8112767338752747	Phenylpropanoids and polyketides	0.5271273851394653	Organic compounds; Organoheterocyclic compounds; Naphthalenes; Alcohols and polyols; Enols; Phenols; Tetracyclines; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Secondary alcohols; Carbonyl compounds; Polyols; Naphthols and derivatives; Benzenoids; Vinylogous acids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	MW_582.19549@RT_25.587
13_palsa_ms2_spectra_MW_556.44972RT_49.813	C33H64O4S	[M - H]-	C33H64O4S	Terpenoids	0.6156743168830872	Steroids	0.8103356957435608	Cholestane steroids	0.6750043630599976	Hydroxy bile acids, alcohols and derivatives	0.6151207089424133	Hydroxy bile acids, alcohols and derivatives	0.6151207089424133	Bile acids, alcohols and derivatives	0.622908890247345	Steroids and steroid derivatives	0.9048581719398499	Lipids and lipid-like molecules	0.9247163534164429	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Alcohols and polyols; Steroids and steroid derivatives; Organic acids and derivatives; Organooxygen compounds; Sulfonyls; Organosulfonic acids; Hydroxysteroids; Bile acids, alcohols and derivatives; Secondary alcohols; Hydroxy bile acids, alcohols and derivatives; 3-hydroxysteroids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	MW_556.44972@RT_49.813
