FeatureID,control_means,treatment_means,log2FC,pval,pval.adj,Expression,fdrtool_pvalue,fdrtool_qval,label,Name,Formula,Calc. MW,Class
Feature0249,24.62249852674835,0,-24.62249852674835,0.021052816064712564,0.09600084125508929,Downregulated,0.021052816064712564,0.0074802294100037355,Label in control,NA,C45 H56 N18 O10 P2,1070.38978,Lignin
Feature0248,24.791540595838015,0,-24.791540595838015,0.01379404847858859,0.07674992750257184,Downregulated,0.01379404847858859,0.006482777503333234,Label in control,NA,C45 H54 N18 O10 P2,1068.37407,Lignin
Feature0247,25.05902826544306,0,-25.05902826544306,0.005337749964518731,0.057250707802469436,Downregulated,0.005337749964518731,0.004758439653366357,Label in control,NA,C43 H48 N14 O15 P2,1062.28961,Lignin
Feature0244,27.75832399159079,0,-27.75832399159079,0.008823655085327824,0.0756598691664019,Downregulated,0.008823655085327824,0.005712626822796182,Label in control,NA,C50 H43 N6 O12 P3,1012.21607,Lignin
Feature0238,0,26.958298519297045,26.958298519297045,0.013477454860936154,0.07674992750257184,Upregulated,0.013477454860936154,0.0064465349970389005,Label in treatment,NA,C33 H47 N4 O21 P3,928.19385,Lignin
Feature0211,25.475941135587618,17.82481903379948,-7.65112210178814,0.0014889051753658117,0.04321834488118858,Downregulated,0.0014889051753658117,0.0036012891991019937,Label in control,NA,C34 H51 N2 O15 P,758.30143,Protein
Feature0189,29.067004462312447,18.986033220651365,-10.080971241661082,0.01520033628328147,0.07876537892245852,Downregulated,0.01520033628328147,0.006653877429309768,Label in control,"3-[(4-O-Acetyl-6-deoxy-alpha-L-mannopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-6-methoxy-4-oxo-4H-chromen-7-yl 2-O-acetyl-6-deoxy-alpha-L-mannopyranoside",C32 H36 O18,708.19128,Lignin
Feature0163,25.023383391307323,0,-25.023383391307323,0.013801522050901079,0.07674992750257184,Downregulated,0.013801522050901079,0.006483617768325257,Label in control,NA,C35 H61 N2 O5 P,620.42949,Lipid
Feature0162,23.027600460985308,0,-23.027600460985308,0.014653026770321572,0.07851895453010391,Downregulated,0.014653026770321572,0.006590101170795607,Label in control,NA,C35 H57 N2 O5 P,616.39823,Lipid
Feature0161,23.535053631110998,0,-23.535053631110998,0.0015357889428727534,0.04321834488118858,Downregulated,0.0015357889428727534,0.003613082895367214,Label in control,NA,C38 H62 O6,614.45287,Lipid
Feature0158,26.24368455744412,0,-26.24368455744412,0.0017059872979416546,0.04321834488118858,Downregulated,0.0017059872979416546,0.00365096408436208,Label in control,"(1S,5S,7S)-3-(3,4-Dihydroxybenzoyl)-4-hydroxy-5-[(2R)-2-isopropyl-5-methylhexyl]-8,8-dimethyl-1,7-bis(3-methylbutyl)bicyclo[3.3.1]non-3-ene-2,9-dione",C38 H58 O6,610.42172,Lipid
