FeatureID,control_means,treatment_means,log2FC,pval,pval.adj,Expression,fdrtool_pvalue,fdrtool_qval,label,Name,Formula,Calc. MW,Class
Feature0249,24.62249852674835,0,-24.62249852674835,0.021592715125815287,0.07709324994893094,Downregulated,0.021592715125815287,0.008789893477962048,Label in control,NA,C45 H56 N18 O10 P2,1070.38978,Lignin
Feature0248,24.791540595838015,0,-24.791540595838015,0.021592715125815287,0.07709324994893094,Downregulated,0.021592715125815287,0.008789893477962048,Label in control,NA,C45 H54 N18 O10 P2,1068.37407,Lignin
Feature0247,25.05902826544306,4.172343957033691,-20.88668430840937,0.04603510716036463,0.07709324994893094,Downregulated,0.04603510716036463,0.008789893477962047,Label in control,NA,C43 H48 N14 O15 P2,1062.28961,Lignin
Feature0244,27.75832399159079,0,-27.75832399159079,0.021592715125815287,0.07709324994893094,Downregulated,0.021592715125815287,0.008789893477962048,Label in control,NA,C50 H43 N6 O12 P3,1012.21607,Lignin
Feature0243,7.986354072657431,24.352595448030176,16.366241375372745,0.06397706346338605,0.07709324994893094,Upregulated,0.06397706346338605,0.008789893477962048,Label in treatment,NA,C38 H51 N8 O18 P3,1000.25224,Lignin
Feature0242,25.99469126325784,8.052860445797133,-17.94183081746071,0.06397706346338605,0.07709324994893094,Downregulated,0.06397706346338605,0.008789893477962048,Label in control,NA,C56 H85 N6 O4 P3,998.5853,Lipid
Feature0239,27.278634205145686,18.000788166249844,-9.277846038895841,0.06407750645105947,0.07709324994893094,Downregulated,0.06407750645105947,0.008789893477962047,Label in both,NA,C61 H85 N4 O P3,982.59045,Unsaturated HC
Feature0236,22.639209342550664,0,-22.639209342550664,0.021592715125815287,0.07709324994893094,Downregulated,0.021592715125815287,0.008789893477962048,Label in control,NA,C35 H75 N4 O17 P3,916.43354,Protein
Feature0234,24.371924142933675,3.7664942920976614,-20.605429850836014,0.04603510716036463,0.07709324994893094,Downregulated,0.04603510716036463,0.008789893477962047,Label in control,NA,C37 H62 N6 O12 P2 S2,908.3357,Protein
Feature0233,24.38248868539631,0,-24.38248868539631,0.021592715125815287,0.07709324994893094,Downregulated,0.021592715125815287,0.008789893477962048,Label in control,NA,C41 H56 N4 O15 P2,906.32081,Lignin
Feature0231,18.56099632847596,23.60835134480567,5.0473550163297105,0.06407750645105947,0.07709324994893094,Upregulated,0.06407750645105947,0.008789893477962047,Label in control,NA,C35 H53 O19 P3,870.23968,Protein
Feature0227,18.422689799482658,23.836714815382663,5.414025015900005,0.06407750645105947,0.07709324994893094,Upregulated,0.06407750645105947,0.008789893477962047,Label in control,NA,C41 H31 N12 O9 P,866.2083,Condensed HC
Feature0226,19.017811657172988,25.108213031602208,6.09040137442922,0.06407750645105947,0.07709324994893094,Upregulated,0.06407750645105947,0.008789893477962047,Label in control,NA,C39 H34 N10 O10 P2,864.19301,Lignin
Feature0225,21.44544785735877,0,-21.44544785735877,0.021592715125815287,0.07709324994893094,Downregulated,0.021592715125815287,0.008789893477962048,Label in control,NA,C41 H65 N2 O10 P3,838.38575,Lipid
Feature0224,26.524279909608172,11.830350998309992,-14.69392891129818,0.068764678354851,0.07902806318393324,Downregulated,0.068764678354851,0.009010493883920903,Label in control,NA,C45 H77 N2 O10 P,836.53128,Lipid
Feature0220,24.310679815831755,11.97503883279688,-12.335640983034875,0.068764678354851,0.07902806318393324,Downregulated,0.068764678354851,0.009010493883920903,Label in treatment,NA,C29 H48 N2 O20 P2,806.2291,Amino Sugar
Feature0219,24.310113479120137,15.590344532807258,-8.719768946312879,0.06407750645105947,0.07709324994893094,Downregulated,0.06407750645105947,0.008789893477962047,Label in both,NA,C38 H59 N2 O14 P,798.36968,Protein
Feature0216,8.098867114622399,25.08059663999521,16.981729525372813,0.06397706346338605,0.07709324994893094,Upregulated,0.06397706346338605,0.008789893477962048,Label in treatment,NA,C24 H50 N2 O22 P2,780.23387,Carbohydrate
Feature0215,0,25.18895845674001,25.18895845674001,0.021592715125815287,0.07709324994893094,Upregulated,0.021592715125815287,0.008789893477962048,Label in treatment,NA,C35 H29 N2 O17 P,780.11968,Lignin
Feature0211,25.475941135587618,21.270055838053597,-4.205885297534021,0.06407750645105947,0.07709324994893094,Downregulated,0.06407750645105947,0.008789893477962047,Label in both,NA,C34 H51 N2 O15 P,758.30143,Protein
Feature0209,23.98053986064809,0,-23.98053986064809,0.021592715125815287,0.07709324994893094,Downregulated,0.021592715125815287,0.008789893477962048,Label in control,NA,C39 H55 N2 O7 P3,756.32245,Lignin
Feature0204,21.07100834698937,23.430216192774477,2.3592078457851073,0.06407750645105947,0.07709324994893094,Upregulated,0.06407750645105947,0.008789893477962047,Label in control,NA,C36 H61 N2 O11 P,728.40019,Protein
Feature0199,22.975334519077638,0,-22.975334519077638,0.021592715125815287,0.07709324994893094,Downregulated,0.021592715125815287,0.008789893477962048,Label in control,NA,C33 H53 N4 O8 P3,726.31122,Lipid
Feature0198,25.58385850271717,8.433232396633969,-17.1506261060832,0.06397706346338605,0.07709324994893094,Downregulated,0.06397706346338605,0.008789893477962048,Label in control,NA,C37 H61 N2 O6 P3,722.37393,Lipid
Feature0190,25.02708065577644,15.850605957886739,-9.176474697889702,0.06407750645105947,0.07709324994893094,Downregulated,0.06407750645105947,0.008789893477962047,Label in both,NA,C31 H37 N2 O15 P,708.19138,Lignin
Feature0189,29.067004462312447,19.75718610082319,-9.309818361489256,0.06407750645105947,0.07709324994893094,Downregulated,0.06407750645105947,0.008789893477962047,Label in control,"3-[(4-O-Acetyl-6-deoxy-alpha-L-mannopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5-hydroxy-6-methoxy-4-oxo-4H-chromen-7-yl 2-O-acetyl-6-deoxy-alpha-L-mannopyranoside",C32 H36 O18,708.19128,Lignin
Feature0188,20.857053109875306,3.5951154365811253,-17.26193767329418,0.04603510716036463,0.07709324994893094,Downregulated,0.04603510716036463,0.008789893477962047,Label in control,NA,C13 H38 N9 O22 P,703.18449,Other
Feature0186,26.372799763576804,12.688093592777891,-13.684706170798913,0.068764678354851,0.07902806318393324,Downregulated,0.068764678354851,0.009010493883920903,Label in both,NA,C36 H37 N2 O7 P3,702.18136,Lignin
Feature0185,25.43212979828064,16.902904981450106,-8.529224816830535,0.06407750645105947,0.07709324994893094,Downregulated,0.06407750645105947,0.008789893477962047,Label in control,NA,C35 H63 N2 O6 P3,700.38921,Lipid
