Weight,PNC,PNE,I_Palsa_E2,III_Palsa_N1,I_Palsa_C1,I_Palsa_C2,I_Palsa_E1,I_Palsa_N1,I_Palsa_N2,II_Palsa_C1,II_Palsa_C2,II_Palsa_E1,II_Palsa_E2,II_Palsa_N1,II_Palsa_N2,III_Palsa_C1,III_Palsa_C2,III_Palsa_E1,III_Palsa_E2,III_Palsa_N2,all
1070.38978,97431045.9707235,23755662.0819247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1068.37407,90387711.16782,32368948.2638846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1062.28961,86726256.2377921,48879978.839283,709137.396355643,204532.209341391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1036.768,NA,NA,11268577.5171913,11239406.7552042,5723753.90201681,3031666.83685873,3772073.1394274,11828350.2588439,3145236.16150691,24445039.0807096,36320853.0504314,11169941.1797439,29863238.6123004,61568627.7893726,24157970.0924142,58704721.0575881,6582703.50517477,1638508.20741918,40503997.9139438,19038301.3201443,1
1013.21943,160915306.011565,107199781.647594,189003.749865075,NA,38639.5997583517,NA,NA,387381.260759754,576704.187982654,46654.75414466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1012.21607,372945315.347981,479484348.072787,844636.148910263,NA,38639.5997583517,NA,40084.0124269115,1026487.8427653,1616999.95694189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1000.25224,137923.635336701,NA,250135.923523788,31507201.6772456,823422.148686846,788513.967296526,201007.878939152,916566.864728839,NA,17825977.3738429,1727848.86791359,7440191.16695128,17654646.2960902,24295251.0641121,3958217.89971668,17605550.3174689,1711822.93163552,25022397.9169015,20352237.0612827,55432819.3390959,1
998.5853,100348274.401499,154559949.614771,1938269.75158503,118142.203557004,NA,27663.6546229982,515270.80303021497,810146.882078949,449498.438055145,36823.3870350676,10892.1902714843,182852.318137487,96025.7749663191,177555.26121976,128401.942325844,NA,NA,NA,NA,187433.135972695,1
998.5853,28235173.8552879,NA,1938269.75158503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
994.43001,NA,NA,NA,206358131.015559,NA,153453.131465164,NA,42423.0263283628,NA,5693354.99508162,NA,NA,NA,903728.441567245,112030407.658834,238930.544243281,NA,345066.646197191,26391865.6068904,789624.94260351,1
982.59045,305831185.883677,300701637.002126,12530792.8019145,618724.754208973,102722.673777314,125615.818724838,3593646.65604494,4164358.26513051,NA,109262.383984628,46688.6981721339,2150111.1985405,1878607.68162553,404974.012243719,766374.713942956,36414.8514987619,NA,113577.241718585,434259.846251212,654988.265748565,1
928.19385,NA,NA,22984560.0415161,169105345.800758,61320144.1341469,62248578.6766074,27731653.0809501,81907266.0234439,17478029.540561,76955919.1998154,54709842.9560215,94415731.0450522,87044223.9526439,259175465.981301,193499245.376261,217654036.965701,50380884.2835804,337130628.762096,92831907.004858,443921927.229104,1
926.17849,NA,NA,36885446.2522302,117081130.204645,55203426.7421334,52962451.2393454,39657832.8373051,75679033.1271605,43450655.4911756,48032159.8220316,36652564.177908,67751441.1780451,58747689.1278256,91931722.1745916,100546135.383931,159452025.142581,67161894.3808367,207133047.405479,96237073.5693119,144676326.752454,1
916.43354,76219099.5288103,1942411.70500899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
914.17835,2107870.36400503,NA,3945766.29742453,29723156.7453423,9558505.08088957,9302815.23565848,3756295.27125645,11539792.5781845,2484390.5793632,16867463.3770836,8710421.71411192,13617382.4300961,20201808.9794138,37184900.7980614,24683735.4722979,28781016.1337553,6605752.23851271,39437050.6719102,11995224.0126651,68770212.6049826,1
908.3357,107253866.269975,15247221.8838635,NA,66383.7017376486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
906.32081,97911843.1717705,16948409.2732385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
884.21877,NA,NA,NA,10583076.3372676,NA,1651484.065933,NA,61400.2180224339,NA,690011.773146614,35391.3145115074,395834.348335019,762018.881769097,2557957.72609245,9511864.13738069,NA,1168024.65283413,10020410.0420614,2016855.782101,71841254.7371747,1
870.23968,2080397.98738396,249417.483346284,NA,12351468.1614916,62013.2811561741,25697298.4528858,NA,78688.1249560594,NA,291849.456595396,516083.272299536,886372.205661813,548817.214576575,3475523.4166339,7845862.91690828,NA,8839611.50117188,8110988.76636263,18822805.4538101,59907592.2718178,1
868.22456,4788260.17516141,2707374.01682234,NA,21306393.2132855,389120.528307207,90415502.8590481,NA,NA,44299.075259379,184497.860701885,NA,125329.361761351,272776.598046209,1242367.33810745,17751454.3126712,NA,379863.233529531,14606237.9805669,676407.397010223,70517330.0262644,1
866.3083,NA,NA,NA,31480298.2337132,102981.502296936,33273.8616141385,NA,NA,NA,1511043.54358246,NA,NA,NA,252527.89656995,69301.5246501989,NA,249669.994254301,NA,175000.741297945,38549612.8222677,1
866.2094,7717414.08541865,6576553.54986513,206116.492784771,1277667.72815583,1737019.47200134,74890389.7965652,NA,431443.602604966,46392.794826179,11469995.5579298,670303.25616424,1644156.38364251,2665424.25701143,9415565.19204101,90857793.20994,894672.556827776,134687.586681552,28063675.1073443,3198762.56960176,95778453.568988,1
866.2083,886171.85918084,483378.461752266,208571.946992937,307103837.586329,229901.624391591,33112371.1006901,30943.5705829489,1072650.40424923,97996.4108880589,16711930.6596202,1053918.3422452,409113.215329126,2429696.29903643,8208714.69017142,179715046.381248,1118945.95470948,1340246.76459189,10156724.0177822,1625473.98011601,41967834.2505504,1
864.19301,1688153.34922883,579019.453586643,1069580.86912034,58571405.2805835,28371825.1889611,8257181.89401992,1054055.52858213,16985676.6591114,8232690.13760178,24840011.0355748,14445322.2590805,13434597.3070909,29128370.4527622,17510994.5841034,35393346.3383285,13576042.4278356,79458075.9273376,19534386.8196142,67062574.9788157,94190366.3740893,1
838.38575,39477296.7525489,716705.990525514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
