FeatureID,SampleID,Labeling Status,Rel. Exchange [%],label_nw,label_irreg
Feature0249,I_Palsa_C1,Not detected,NA,Not_detected,Not_detected
Feature0249,I_Palsa_C2,Not detected,NA,Not_detected,Not_detected
Feature0249,I_Palsa_E1,Not detected,NA,Not_detected,Not_detected
Feature0249,I_Palsa_E2,Not detected,NA,Not_detected,Not_detected
Feature0249,I_Palsa_N1,Not detected,NA,Not_detected,Not_detected
Feature0249,I_Palsa_N2,Not detected,NA,Not_detected,Not_detected
Feature0249,II_Palsa_C1,Not detected,NA,Not_detected,Not_detected
Feature0249,II_Palsa_C2,Not detected,NA,Not_detected,Not_detected
Feature0249,II_Palsa_E1,Not detected,NA,Not_detected,Not_detected
Feature0249,II_Palsa_E2,Not detected,NA,Not_detected,Not_detected
Feature0249,II_Palsa_N1,Not detected,NA,Not_detected,Not_detected
Feature0249,II_Palsa_N2,Not detected,NA,Not_detected,Not_detected
Feature0249,III_Palsa_C1,Not detected,NA,Not_detected,Not_detected
Feature0249,III_Palsa_C2,Not detected,NA,Not_detected,Not_detected
Feature0249,III_Palsa_E1,Not detected,NA,Not_detected,Not_detected
Feature0249,III_Palsa_E2,Not detected,NA,Not_detected,Not_detected
Feature0249,III_Palsa_N1,Not detected,NA,Not_detected,Not_detected
Feature0249,III_Palsa_N2,Not detected,NA,Not_detected,Not_detected
Feature0249,Palsa_T0,Not detected,NA,Not_detected,Not_detected
Feature0249,PNC,No warnings,0,Non_labeled,Non_labeled
Feature0249,PNE,Irregular exchange,48.4320300315709,Non_labeled,Labeled
Feature0248,I_Palsa_C1,Not detected,NA,Not_detected,Not_detected
Feature0248,I_Palsa_C2,Not detected,NA,Not_detected,Not_detected
Feature0248,I_Palsa_E1,Not detected,NA,Not_detected,Not_detected
Feature0248,I_Palsa_E2,Not detected,NA,Not_detected,Not_detected
Feature0248,I_Palsa_N1,Not detected,NA,Not_detected,Not_detected
Feature0248,I_Palsa_N2,Not detected,NA,Not_detected,Not_detected
Feature0248,II_Palsa_C1,Not detected,NA,Not_detected,Not_detected
Feature0248,II_Palsa_C2,Not detected,NA,Not_detected,Not_detected
Feature0248,II_Palsa_E1,Not detected,NA,Not_detected,Not_detected
Feature0248,II_Palsa_E2,Not detected,NA,Not_detected,Not_detected
Feature0248,II_Palsa_N1,Not detected,NA,Not_detected,Not_detected
Feature0248,II_Palsa_N2,Not detected,NA,Not_detected,Not_detected
Feature0248,III_Palsa_C1,Not detected,NA,Not_detected,Not_detected
Feature0248,III_Palsa_C2,Not detected,NA,Not_detected,Not_detected
Feature0248,III_Palsa_E1,Not detected,NA,Not_detected,Not_detected
Feature0248,III_Palsa_E2,Not detected,NA,Not_detected,Not_detected
Feature0248,III_Palsa_N1,Not detected,NA,Not_detected,Not_detected
Feature0248,III_Palsa_N2,Not detected,NA,Not_detected,Not_detected
Feature0248,Palsa_T0,Not detected,NA,Not_detected,Not_detected
Feature0248,PNC,No warnings,0,Non_labeled,Non_labeled
Feature0248,PNE,Irregular exchange,45.2977300121627,Non_labeled,Labeled
Feature0247,I_Palsa_C1,Not detected,NA,Not_detected,Not_detected
Feature0247,I_Palsa_C2,Not detected,NA,Not_detected,Not_detected
Feature0247,I_Palsa_E1,Not detected,NA,Not_detected,Not_detected
Feature0247,I_Palsa_E2,No warnings,0,Non_labeled,Non_labeled
Feature0247,I_Palsa_N1,Not detected,NA,Not_detected,Not_detected
Feature0247,I_Palsa_N2,Not detected,NA,Not_detected,Not_detected
Feature0247,II_Palsa_C1,Not detected,NA,Not_detected,Not_detected
Feature0247,II_Palsa_C2,Not detected,NA,Not_detected,Not_detected
Feature0247,II_Palsa_E1,Not detected,NA,Not_detected,Not_detected
Feature0247,II_Palsa_E2,Not detected,NA,Not_detected,Not_detected
Feature0247,II_Palsa_N1,Not detected,NA,Not_detected,Not_detected
Feature0247,II_Palsa_N2,Not detected,NA,Not_detected,Not_detected
Feature0247,III_Palsa_C1,Not detected,NA,Not_detected,Not_detected
Feature0247,III_Palsa_C2,Not detected,NA,Not_detected,Not_detected
Feature0247,III_Palsa_E1,Not detected,NA,Not_detected,Not_detected
Feature0247,III_Palsa_E2,Not detected,NA,Not_detected,Not_detected
Feature0247,III_Palsa_N1,No warnings,0,Non_labeled,Non_labeled
Feature0247,III_Palsa_N2,Not detected,NA,Not_detected,Not_detected
Feature0247,Palsa_T0,Not detected,NA,Not_detected,Not_detected
Feature0247,PNC,No warnings,0.020544048521491,Non_labeled,Non_labeled
Feature0247,PNE,Irregular exchange,68.2922462379881,Non_labeled,Labeled
Feature0246,I_Palsa_C1,No warnings,0.0175066945389543,Non_labeled,Non_labeled
Feature0246,I_Palsa_C2,Low pattern fit,0,Non_labeled,Non_labeled
Feature0246,I_Palsa_E1,No warnings,0,Non_labeled,Non_labeled
