"","PNC","PNE","I_Palsa_E2","III_Palsa_N1","I_Palsa_C1","I_Palsa_C2","I_Palsa_E1","I_Palsa_N1","I_Palsa_N2","II_Palsa_C1","II_Palsa_C2","II_Palsa_E1","II_Palsa_E2","II_Palsa_N1","II_Palsa_N2","III_Palsa_C1","III_Palsa_C2","III_Palsa_E1","III_Palsa_E2","III_Palsa_N2"
"Feature0249",25.4370537804049,23.8079432730918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0248",25.3287988705782,24.2542823210978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0247",25.2691410636161,24.84891546727,21.5182874067715,16.6893758281348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0246",0,0,25.5083833769167,22.4694564495368,22.1774180899908,21.6813826621259,24.2510871264633,23.6939875745506,23.2444640024711,24.5681097320098,26.422123213404,24.4496944403855,24.8441190844095,26.2194512751605,24.2258435273852,26.3509613398203,23.0623145291145,20.5363144725476,25.4555453368578,22.9802269886799
"Feature0245",26.160901868299,25.9819018427981,19.6106384078995,0,14.9667251585083,0,0,18.7616398210081,20.7971997067512,15.5348381672395,0,0,0,0,0,0,0,0,0,0
"Feature0244",27.373564402739,28.1430835804425,21.77055214422,0,14.9667251585083,0,17.6949069443713,20.1675282693148,22.2846154334786,0,0,0,0,0,0,0,0,0,0,0
"Feature0243",15.9727081453149,0,20.0149353759411,23.9565720279161,19.3801624170919,19.73848087976,20.0210547175866,20.0041239114465,0,24.1125492215613,22.0283743856941,23.8634844785274,24.0857964035604,24.8779302298026,21.6162676073459,24.6135151729727,21.1191682589908,24.4690788321621,24.4626684330779,24.5220624989646
"Feature0242",25.4796161286192,26.5097663978965,22.9689193848756,15.8975821825652,0,14.9054535978819,21.3791326854119,19.8260674572874,20.4376845342215,15.193444513485,14.718888415618,18.5168993619408,16.5634007191564,17.7816741648366,16.6701688892254,0,0,0,0,16.3138596006234
"Feature0241",23.6501658188915,0,22.9689193848756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0240",0,0,0,26.6679687062982,0,17.3771494816678,0,15.5708314964561,0,22.4659191745638,0,0,0,20.1292902369952,26.4391626957627,18.4102240403185,0,18.2888820652914,24.837574375083,18.3886376297271
"Feature0239",27.0873358268323,27.4699325834591,25.6615556591039,18.2863363907319,16.3772996556246,17.0883714264546,24.1811780436935,22.1879049961986,0,16.7625215553441,16.8186266695048,22.0725562953716,20.8534848850553,18.9712317904012,19.2475403077117,15.6962546428182,0,16.6856899964185,18.9121862855441,18.1189399923048
"Feature0238",0,0,26.5367430034377,26.380740691405,25.5987453537706,26.0412400272523,27.1291911270337,26.4857300531269,25.7187661774049,26.2226002788699,27.0131255355857,27.529100049938,26.3874969886561,28.2931130976827,27.2276002627002,28.2414496712165,25.9984387071654,28.221094522784,26.6521017595435,27.5235561271999
"Feature0237",0,0,27.2191296367101,25.8503270089484,25.4471420936353,25.8081690298029,27.6452633476887,26.3716322718144,27.0326015576193,25.5425686742151,26.4352392577847,27.0503244342596,25.8202805329284,26.7978186213537,26.2831299620696,27.7925353147889,26.4132051811316,27.5183445708888,26.7040737765464,25.9060790456645
"Feature0236",25.0828247991979,20.1955938859034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0235",19.90653171038,0,23.9944554386044,23.8724777519552,22.9172413275819,23.2989385282202,24.2450399504727,23.6583559997138,22.904187696802,24.0328110756937,24.3621396508993,24.7355222516517,24.2802329612768,25.4919727957456,24.2569050294313,25.3226023555486,23.0673571700417,25.1254104214466,23.6999411967541,24.833105907447
"Feature0234",25.5756299731406,23.1682183127267,0,15.0659771683906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0233",25.4441556014759,23.3208217693167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0232",0,0,0,22.3826496341704,0,20.8050348525704,0,16.1042185717075,0,19.4213348049391,16.4189526391045,19.6311151826648,19.5517208385836,21.6303206132041,22.8811444189629,0,20.567705799292,23.1488004202042,21.1276614510826,24.8961346472164
"Feature0231",19.8876051345102,17.2343875224417,0,22.605573077199,15.6492052515423,24.7648158579204,0,16.4621162249471,0,18.1799410125573,20.2850739194453,20.7941300353152,19.0782205564854,22.0725583392901,22.6033484789432,0,23.4876172338915,22.8438086122628,24.3499627291622,24.6340609605987
"Feature0230",21.0902462907996,20.6746387319702,0,23.3921768353786,18.2987496142275,26.579769286083,0,0,17.0947262112846,17.518323545243,0,17.9719466547022,18.0696173378784,20.5884204688242,23.781281542921,0,18.9471889879364,23.6924434675053,19.5515191149371,24.8692999519396
"Feature0229",0,0,0,23.9553396099095,16.3809301744094,15.1718432179805,0,0,0,20.5521860407227,0,0,0,18.2898469239576,15.780472658293,0,18.3417328404259,0,17.6009930908153,23.9980385098855
