FeatureID,I_Palsa_C1,I_Palsa_C2,I_Palsa_E1,I_Palsa_E2,I_Palsa_N1,I_Palsa_N2,II_Palsa_C1,II_Palsa_C2,II_Palsa_E1,II_Palsa_E2,II_Palsa_N1,II_Palsa_N2,III_Palsa_C1,III_Palsa_C2,III_Palsa_E1,III_Palsa_E2,III_Palsa_N1,III_Palsa_N2,Palsa_T0,PNC,PNE
MW_780.23422@RT_17.199,1454842426.58118,78672677.6249184,1809390.15894433,2354056.6094806,1064656740.81767,20418156.8373184,7870501.05086099,17798074.203102,11759444.7802786,1235840400.9595,11964704.7650679,52983934.5517453,61184291.4880206,538747438.703361,2588496.47922534,8230546.72633574,356408512.666083,471731328.450227,206474490.525337,39193.8884736315,22284.6750471215
MW_632.50231@RT_49.721,32967.270449843,0,0,457244.490625318,404499.735297922,108880.290651452,0,13357.6482044519,66203.3098953919,0,240213.94917071,75346.9779703896,46160.8414555686,44745.5704421742,0,10021.5497730347,91856.053436929,121015.494620775,55917.3233355078,28689936.0000892,41249140.5982906
MW_594.28116@RT_46.901,429313.864355972,560784.534864308,702388.096987694,182152.381743855,1192809.8261081,383073.277922953,701971.144512746,1004329.85499191,450565.68555383,369197.419821882,413119.367684081,652555.53396721,565823.391360532,148811.967218181,188655.414273886,83844.0724616002,280228.666189182,297993.780125383,220192.667598898,54671044.1933035,184821111.32956
MW_416.18697@RT_37.918,9145342.50997156,4873171.63056165,5619940.84260599,4435994.78838281,1197073.85155685,3244205.70890479,13032212.5547059,13474216.6632401,865206.096110178,1080767.92448631,14496719.2068164,17267178.3078859,33999591.8789164,931692.673448225,19186491.2570392,7281364.81528741,8297208.91747811,3599420.35168353,23103532.976213,427049.831219732,10697.0556628895
MW_728.40027@RT_31.525,1187348.9801468,652651.356774168,318235.916784598,256953.741755143,0,320427.483725378,43969064.2980124,1000923.28672923,1730195.50115618,1261989.61797502,2300560.52871241,16030655.2742414,2463353.5439999,0,3740218.4275344,10467791.3189224,31379685.6103429,55656524.9089172,5872841.88388218,0,88744.5585099359
MW_884.21877@RT_13.725,71290.8637019085,1835611.8076125,0,0,59007.7485290242,0,799203.082067288,100057.981864453,520649.385279263,913722.945892593,2664867.13056602,9617748.86403629,37979.506211768,1191966.9506745,10405647.3930605,2134155.49520682,10821519.9294758,71245981.4383076,4386295.06664763,0,0
MW_722.37393@RT_46.173,244653.291729382,216706.812506947,456672.222899093,923803.317159921,1268372.55701599,432145.487498061,221598.025685138,200341.460769509,837382.361333647,266143.243905043,701293.663284233,508591.51372371,80237.0147667796,99375.8469170047,8907.26138435716,0,311715.986658463,141633.926179052,108619.074351182,48265534.1528608,181155013.222164
MW_786.36921@RT_22.847,121506.766329416,160910.386158419,21117.9523668202,58802.54865692,176467.866108843,0,44033498.9837086,181415.475517976,193652.505079622,474835.397915369,922628.437244523,15520838.3758869,390135.211808037,173072.458243831,851843.87156784,11774759.0684216,18530070.6156724,62965862.3641036,3039624.23324721,0,32695.4585211237
MW_296.23519@RT_45.790,0,0,88856.1739755961,0,0,0,0,0,33091.1241003823,0,0,0,0,0,22752.0293437236,108539.346713048,0,0,0,38343136.655121,29123.2876755835
MW_628.16526@RT_19.207,783701.090224632,5899533.90738153,300499.163128532,366184.441263202,911997.362112619,807320.210485138,2662806.01251029,454693.673691314,0,450668.856286239,688106.852149561,13328306.3301929,489645.144715994,349392.765326107,178673.288119213,288078.803671457,47219132.4669691,1467936.09685166,2100392.90552526,0,0
MW_562.24204@RT_30.025,1281290.41972917,7308784.00815957,273247.95949997,300982.733610204,0,1733764.73871251,27259033.4784508,1187025.08301505,819425.373813328,0,2949835.21127983,6660846.83542622,0,952907.639422425,0,0,28472591.4331881,5372897.22765405,7875568.52914028,18799467.4338447,27672117.4234131
MW_688.40473@RT_33.806,68113408.4609923,8393325.43957839,7478726.06913487,5178774.25313715,79560504.7918167,19138881.0078016,15802142.3998789,7655834.55078474,14144625.4267619,42601174.77262,0,19710010.6753343,25787662.8135324,32526220.0558377,20121891.5018661,46261128.2895563,56835021.0357291,70661853.925228,20931395.5467281,938583.210725484,0
MW_432.10580@RT_24.021,0,97084.4883755175,2082773.74101621,3532075.37616935,1786890.74484814,2170253.32232087,0,0,174444.529979348,152953.395417631,444795.42144508,279836.549233692,0,0,0,0,80418.7141173633,111940.968279028,145487.229978208,49512643.6185862,42736672.1246007
MW_644.23289@RT_18.452,3896751.91388147,1355371.3266596,1039717.09931823,3470178.63416084,5920050.41629933,2693352.11056073,1127143.40504214,1409134.25599544,1064216.55826681,1950921.13931539,2216582.51758487,1115215.3417365,2570753.60291636,2735310.4881785,2291794.02456373,1080015.13641243,1967281.32101208,2718374.87591634,2287707.11800854,67031280.9131301,28447845.5272221
MW_548.33565@RT_37.895,1728369.67742814,73742.3553180655,2021644.7292394901,1333863.65075781,1262334.86526173,0,35978444.6079421,1041331.4990538,2967423.70502427,2560557.07057122,1233720.00661916,4782406.96400075,1686937.08819864,1068652.81747691,10912.7866334147,10358829.0516948,56144332.7077598,13425760.9989795,805318.334681588,0,0
MW_416.18697@RT_39.904,10210981.2152374,10847952.4947944,3618125.61845785,3153885.6561564,7221774.11402443,3197956.52731805,14148189.2855015,15177501.8309819,13312660.1665188,12099121.4169353,15343617.1141675,17604546.4963209,42565169.9899735,15330188.4706436,27202977.1292407,6858924.18742609,7732603.88027168,5822769.27709496,26382612.2781638,0,0
MW_1000.25224@RT_23.827,870795.816491137,863622.203029,220845.809684393,294909.000891907,982053.893990627,125986.333623003,17949358.4806913,2855337.93009629,8096532.55513371,18584265.1698615,24321336.9951017,7021611.23161423,18185328.178734,1748816.68007961,25100759.2389119,21510958.9243935,31015357.596272,54308000.6371833,15293984.8619789,0,0
MW_812.29129@RT_19.940,38695128.3442275,3385936.30227106,125352.041884762,47093.6053676277,11868916.5150992,12353684.0639266,580916.899632242,393531.825362665,823027.113249988,11242095.1246352,745075.52046453,1601388.07145029,3669502.85883153,77059565.5333418,150460.827961335,564942.609330895,10306954.0399822,13154258.4735607,4216797.28011069,425569.177350752,0
MW_546.31975@RT_34.022,804990.020120102,460057.750844954,25334.818450422,400497.678194711,524512.481003774,593071.154477517,30464255.2192172,324046.398445766,1729911.04404991,895143.84250245,316108.72746387,3145419.40694229,1335963.67627254,371480.476706014,1383493.19628551,8470424.65301306,32617653.3759762,49857245.0787451,569025.626675583,0,0
MW_728.40007@RT_28.566,52889579.2180939,7584862.802932,2189913.38708369,1863081.56929866,25875014.7241752,9431653.16524587,4432516.77114064,1752252.4510655,3904681.90442358,6570547.07812041,2798075.7167686,3323373.02866228,7152965.21433038,27932868.4155223,5055098.39302353,9321076.81969067,10035453.1719861,17139912.0459328,4385085.73650457,0,0
MW_430.18403@RT_29.327,617599.056987841,69928.0655332289,898705.532041571,1028750.96637646,1409910.37666654,1491736.63092517,372597.736003025,0,24634.0084125259,98028.76357434,246222.966894754,2167557.36857353,452955.951156395,157578.550385421,359394.944935968,98051.4094946036,5299322.45474918,780303.140480789,205423.500643591,32555500.5053765,20087929.3550213
MW_580.14336@RT_21.712,0,0,1106263.0721844,1914000.09703192,1642677.78343851,1405423.40646211,0,23444.329459793,105178.039688269,221701.29784487,547561.170525128,489557.427617832,51352.1717197988,67379.9707114447,111726.624017472,1814347.35660835,0,2674198.74338518,253913.428091974,29965222.6244982,9819600.67429618
MW_776.20261@RT_14.397,1447117.26672415,1259825.86594694,414750.763711799,335479.000499913,2046137.76612745,579763.968235928,5742290.85821015,9728790.05356066,8545605.48018584,8702852.72341153,35344270.4127332,20968536.9918045,18707568.3695077,2546253.39218399,40111676.0681398,5602033.90904113,7150922.53819111,9342762.34550264,38861821.2676355,277021.720664434,0
MW_541.33852@RT_49.060,157174.065735667,243956.421639191,39215.7566766307,99206.4786779562,4178974.46281795,86399.9402292761,435667.386472134,234210.092538632,122814.044017795,360571.945685013,200174.84337707,354818.249594316,145259.04003455,123199.903129851,72312.8337806331,45792.1480914133,554894.116989798,508469.134201904,386038.690519851,43102583.539356,58472635.104865
MW_628.23775@RT_25.920,23932460.8388521,5588822.11273528,4087517.87415923,3972446.37256547,35395982.6187536,5134499.1009593,6407385.17288876,6289287.62041385,5971583.75583427,0,5311116.76410666,6078676.82649652,6533024.45271876,16820092.6899372,7430587.69294006,9637962.75221952,11370852.692036,26109381.620284,12021223.151898,3900032.18744822,22227.0217949778
MW_614.45287@RT_45.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24354.319662031,0,27164279.8521702,18618260.9900332
MW_434.21546@RT_19.473,103168.993919262,80361.5058454512,17397.1725703924,134991.774218376,589857.366153577,267879.487323113,279374.488149533,17983.5816982637,48422.3657867841,0,250019.358319332,953148.97078586,29814.0432075385,0,634687.342404376,311805.475141035,2386052.91383041,1471481.49220735,245666.079942022,73225373.4653145,56095629.3900399
MW_866.30845@RT_17.147,160139.264109614,33519.5303293546,0,0,176837.506713536,0,1575766.66256664,27047.5668967114,0,134639.658384778,270630.993936576,189345.124335422,0,340068.753830366,0,245879.049605265,31740484.3085102,38955228.5687503,1720819.48145292,0,0
MW_434.08511@RT_26.485,1554161.03651962,1360171.47664653,1029748.59908894,941974.124407902,1667775.83282028,798843.365702211,10944065.9945207,1354147.92392112,1717905.89484773,3832222.47023084,4044504.91391693,20226254.4811004,3818039.52501506,1244314.41993734,4907284.94615286,4613918.94898958,15754844.9684984,47805587.2393741,7034295.81560769,0,0
MW_578.43184@RT_49.832,177784.198244463,0,1296219.0474558,1893438.30621773,1196170.18262378,518686.171493371,0,1976857.82030705,1240017.11784927,1085650.01112222,2093835.08098123,1071251.45372983,776874.096863511,1804858.01810937,95241.0538961106,1252098.54044926,1759789.83811206,1229885.87699939,106346.428369627,35561911.5850224,42444706.0600109
MW_380.16834@RT_27.825,0,0,0,0,0,27497.1591463295,0,0,0,0,0,0,0,0,0,0,0,0,0,43581609.9150487,8059722.47888963
MW_616.39823@RT_38.324,0,0,0,0,0,0,0,0,0,0,28137.6514486182,0,0,0,0,32735.7551833753,0,0,0,26567199.6691604,9567787.97049122
MW_486.33486@RT_43.484,25824301.1251058,58857501.673495,5732609.09813167,12761261.3522848,5752195.71566953,1731161.05930262,9023111.4219145,7674670.96950433,6935022.62747549,7824241.79107372,5028575.17653246,6984935.37814327,34751841.137519,4609709.14440156,18754246.1242469,12375980.1723074,5576157.98698967,35187954.4757499,3133434.98336319,0,8717.10539462475
MW_352.13701@RT_17.361,0,303726.584129792,22276.2560465922,824258.439531767,148636.425629831,129376.785502696,33555.8913403897,0,41356.1059618943,0,279611.95862742,228658.344393491,56845.6084173402,0,1719939.06492175,133454.438394032,261678.002404058,350970.209092689,0,63561131.7909486,32472301.5400173
MW_806.22910@RT_14.862,0,0,0,293772.305868169,0,0,0,71372.1359683166,0,0,0,53919.6667549066,25692.4985358286,112839.0385766,107077.508851686,15191.507827806,0,187843.866291982,75962.2692551982,61337066.1626342,23666224.4810907
MW_388.10065@RT_14.389,10416866.4703689,8683635.55769376,6812779.97755559,5070644.05793795,10698732.6978266,4647552.48245696,20902942.3854155,26520240.219811,25378447.3524322,25871267.8415842,46558582.3642967,32921197.9143009,39906337.2814732,15210767.4771764,57147818.499008,19178101.4374556,20095199.7680847,26498395.268347,45306839.4634259,4048169.28676414,900894.448955771
MW_748.27514@RT_26.555,1611975.54430968,283915.113336975,207216.176421439,196055.691905037,1435934.20238662,215459.24157651,496816.791209896,247934.916210439,1296966.49949221,1345776.10663225,774595.466533465,1486534.75574509,0,980571.374128225,224640.315902584,0,986020.829527037,2337616.14030666,1596758.35551477,16391185.4311853,22641201.5021347
MW_374.13665@RT_26.476,23992.7112846278,0,78370.2478454187,0,454248.698920502,297211.961031053,0,0,0,0,58743.7596611678,0,0,0,22740.7370097732,42790.2605871554,0,0,0,8411828.31081826,29821661.9748344
MW_658.46675@RT_37.477,93151.1502458943,30424.4339547016,99666.7623049821,1448088.2881185,396127.201686631,290006.682089058,0,33389.5742991682,0,17381.8156215445,197198.84209177,278423.101608008,573786.217419275,167714.370815887,341617.434869622,162565.21591567,435107.479655583,378481.360737097,206812.988890158,37763205.1664542,28450416.8219091
MW_812.46427@RT_37.702,0,13522426.8305077,0,0,21430.2885921013,26693.3757381635,0,0,0,0,0,4693657.49521545,18047.3935502652,0,4717010.10651116,147956.765219136,0,14622506.6350752,11172.7198127305,24380.8825447069,0
MW_436.15830@RT_19.761,39890374.3577493,0,0,0,0,0,0,0,0,0,0,24633.6516266956,0,24317.3560233507,0,33682.1319903706,171455.191304859,0,0,0,0
MW_468.25731@RT_34.631,0,0,71768.6526601833,64823.3819259428,1058526.54851001,1638425.93789804,281501.307745785,0,231714.60896176,514289.924473598,383122.607917784,220029.167001111,0,227707.137924865,0,0,0,0,0,79570148.3498754,2166044.14004636
MW_604.39844@RT_42.758,57673842.1586399,83910487.8728038,7722503.50820007,33620117.6181984,7957682.92700728,412791.155087018,2615326.71596136,10905441.498736,9991718.06534556,7934266.2450489,13262496.8456722,10498364.6012383,21521698.7390289,4397066.81413256,19605394.7287181,9094410.66433819,5413407.78837006,40556244.1389793,3514307.36070911,0,6462.52931926296
MW_914.17824@RT_23.653,9510751.94041635,9978854.65559938,3819588.51908814,3231372.25770924,11574797.6329743,2811331.57490966,15675430.8593003,9196415.33060777,14807625.8970904,20722768.1013471,38324017.3941582,23947138.8898159,27210462.3201107,6572696.87544884,39791691.0685697,11726808.641545,30111974.0181637,71088965.5594187,42562874.7815456,2038978.15573808,0
MW_494.23693@RT_32.742,0,0,0,0,2421987.17725928,728312.21557529,62043.2598711518,0,0,5471499.23370063,0,0,0,0,7560444.9117286,0,69020924.9078111,3857463.37377303,0,827833.621879068,0
MW_588.43957@RT_44.298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30416531.4817391,13090217.5671419
MW_552.27876@RT_25.098,40298.3244097152,0,0,0,145369.369541559,137867.536738584,154889.129499088,0,0,0,39677.6905045708,467191.277550261,81376.8232216253,43572.3354937017,118966.321646672,192725.078348379,153474.198648731,418983.1564896,71911.0641465457,79698444.1510081,39847684.9640003
MW_610.15435@RT_22.514,2091258.30263784,23146.4482417676,1204277.06938347,2545555.57049895,4171631.62043178,3512170.59472194,95504.3528584086,0,0,950792.696903692,0,411209.899635491,554028.247384196,752910.272370454,138025.43214462,267409.147004209,1871804.83892653,1962276.8662916,873716.621144797,69356979.0045353,24666613.0911794
MW_448.23103@RT_31.966,67067470.5197417,4990291.93227233,459572.315393251,246630.894853822,19129647.3498478,1041924.47838695,2798549.82172795,3917378.40576683,2506291.40623759,46225290.6187965,2325750.21122017,6230513.81834441,9052269.31783318,16215563.747105,1464959.80077248,3929714.21069394,19625593.9431929,13481608.921124,10731058.4393668,886826.398935571,0
MW_796.31769@RT_20.757,784255.613468104,730027.468090495,443782.569457666,256900.571058054,1782648.54306177,275042.387675767,4210805.06757969,2776103.86291143,1959837.64165983,3047397.94045631,14302963.6196049,55467435.4558167,10276479.8346995,1231220.89093121,14418663.4013632,2373686.88634454,7833112.79336809,24983950.3811158,13060288.2533926,0,18299.9537512585
MW_448.15836@RT_16.252,70745149.7171574,38434288.0082795,2474733.29254994,1977798.8175011,10200628.9876506,2922669.62599143,7263972.14809656,4433465.20244379,4282556.03727032,11726265.1970807,5945161.34557862,13399052.6770839,8468502.87804591,65406923.8496458,9519236.88142782,6645993.96978582,17765153.4735945,21668104.4996707,8328056.54472902,362173.715633752,36539.83581312
MW_864.19302@RT_15.755,28726021.1487287,8410746.13815398,1108478.95193327,1288348.89964381,17358870.5428907,8266701.4398368,25738641.0892165,14940169.9026082,13257962.2335989,29658693.6213222,17766378.9605417,36242271.7905101,13818231.6151378,81184273.3783919,19959925.2018912,68243535.0971023,58672191.8052888,94175717.031063,60796027.3575614,1794018.55627849,462274.309289602
MW_744.49592@RT_60.180,136897379.044986,0,0,0,0,0,0,0,0,0,0,20582.8641211592,0,3099.87805360568,0,0,0,0,0,0,0
MW_942.37692@RT_20.195,119494.804949519,247126.269456896,0,0,122834.256522856,0,7899679.3486413,212158.167174166,340446.646903872,577662.341491326,2058305.01392377,8829138.23092925,918892.031821799,149528.394513249,3042163.43701997,2704425.52272524,12438057.7002607,28790561.0954802,3316302.66165321,0,0
MW_418.32959@RT_42.840,14364482.7215267,20089115.3118571,20099211.3895408,31306356.0747062,14310654.8464059,7124612.54558213,67741012.1532919,51194416.0366129,37182840.3139363,27015189.9676386,34893839.0912772,52253829.4291722,45573724.9030992,11115778.3819842,66062111.1512635,22583326.1380768,24059917.7691973,59703641.5640273,7166548.98756885,51816.4710699605,53729.9981399685
MW_600.29758@RT_35.204,490821.185522947,421140.252264061,429611.662465819,170791.508339499,1014897.80460921,49799819.3118054,567567.424424466,1099156.80230615,0,375361.175163311,810615.559442894,247367.83279330801,1212635.98432983,362471.250480484,137310.657949302,311263.605586772,92189.6292561766,516449.687715232,363732.009544603,0,0
MW_756.39544@RT_35.354,306777.5148517,262695.468939594,221202.37428585,123978.54098212,316322.703772225,101861.134449166,11564369.678034,388923.684365116,598616.390971994,374146.495723966,1130139.22073216,4081599.04174305,1054019.35092377,475473.576622186,3218925.05383351,12215914.3247861,24119050.4810164,59524398.8990769,2199337.13461494,0,4873473.45152884
MW_740.29395@RT_31.549,13437100.6579786,5044756.58318329,6149656.0959553,7454155.16008934,11532292.6577745,9087959.26146865,10512121.5671999,9538274.80803455,24033995.6262379,0,30612659.1341833,19362870.51035,51831211.5096497,15288159.2034387,2499905.14045896,17617101.6602695,18385596.023757,1207216.16507996,14612461.6994575,520236.590851387,0
MW_598.22696@RT_18.456,3705755.13261558,1092909.75240032,1768509.98523911,4419346.50349506,5979656.50035021,2585549.48342353,1159068.66100407,1275526.96506006,1078024.17594695,2203400.03743174,2200409.76883022,2144951.81398531,2648376.19781985,2703267.77182021,2301041.60568866,1126251.17479987,2726176.57831545,3159041.42539101,2517940.79122812,74220530.2055746,46965350.0847867
MW_530.25830@RT_22.304,0,0,0,0,147247.705192993,62169.2115170455,0,0,0,0,0,36624.2660850843,0,0,0,0,36179.9441656349,175697.785889799,0,117751248.246026,16397564.284151
MW_624.17009@RT_27.610,2440212.87643724,563871.256037267,209750.399454417,250551.572830845,506544.398572906,531185.818622965,593804.516780986,374519.117754846,250502.483021624,97175.1261790004,352027.586618268,629945.63222304,728580.123253576,1155338.02074683,445060.713429365,143155.740486268,123356.710096131,0,848721.458706384,66761235.9982926,2680270.18911811
MW_656.30552@RT_19.699,0,0,0,0,0,0,0,0,0,0,0,3254118.81293366,0,0,0,0,44050753.0976371,0,0,0,0
MW_518.32474@RT_36.184,24311477.4819778,80854632.2143221,2101416.83383774,9777002.36669625,0,0,6406601.58471162,1998798.16521462,2486396.0136973,7057137.0628621,2399983.36926482,4511027.59905695,15742584.4508288,0,0,0,5404688.47269191,7335177.35215772,1772660.50643231,556921.287486566,0
