FeatureID,SampleID,Labeling Status,Rel. Exchange [%],Label
MW_780.23422@RT_17.199,I_Palsa_C1,Contaminating mass,0.42840779,Non_labeled
MW_780.23422@RT_17.199,I_Palsa_C2,Contaminating mass,0.452510557,Non_labeled
MW_780.23422@RT_17.199,I_Palsa_E1,Irregular exchange,5.887905555,Non_labeled
MW_780.23422@RT_17.199,I_Palsa_E2,Irregular exchange,4.148279531,Non_labeled
MW_780.23422@RT_17.199,I_Palsa_N1,No warnings,0.373256071,Non_labeled
MW_780.23422@RT_17.199,I_Palsa_N2,Contaminating mass,1.878074248,Non_labeled
MW_780.23422@RT_17.199,II_Palsa_C1,Contaminating mass,10.23690893,Non_labeled
MW_780.23422@RT_17.199,II_Palsa_C2,Contaminating mass,2.953146644,Non_labeled
MW_780.23422@RT_17.199,II_Palsa_E1,Irregular exchange,4.658043114,Non_labeled
MW_780.23422@RT_17.199,II_Palsa_E2,No warnings,0.355756115,Non_labeled
MW_780.23422@RT_17.199,II_Palsa_N1,Contaminating mass,7.201808152,Non_labeled
MW_780.23422@RT_17.199,II_Palsa_N2,Contaminating mass,3.635797008,Non_labeled
MW_780.23422@RT_17.199,III_Palsa_C1,Contaminating mass,2.581183632,Non_labeled
MW_780.23422@RT_17.199,III_Palsa_C2,Contaminating mass,1.158264648,Non_labeled
MW_780.23422@RT_17.199,III_Palsa_E1,Irregular exchange,15.10306564,Labeled
MW_780.23422@RT_17.199,III_Palsa_E2,Irregular exchange,6.778117232,Non_labeled
MW_780.23422@RT_17.199,III_Palsa_N1,Contaminating mass,0.956763011,Non_labeled
MW_780.23422@RT_17.199,III_Palsa_N2,Contaminating mass,0.921994892,Non_labeled
MW_780.23422@RT_17.199,Palsa_T0,Contaminating mass,1.512775343,Non_labeled
MW_780.23422@RT_17.199,PNC,No warnings,0,Non_labeled
MW_780.23422@RT_17.199,PNE,No warnings,27.99598878,Labeled
MW_632.50231@RT_49.721,I_Palsa_C1,No warnings,0,Non_labeled
MW_632.50231@RT_49.721,I_Palsa_C2,Not detected,NA,Not_detected
MW_632.50231@RT_49.721,I_Palsa_E1,Not detected,NA,Not_detected
MW_632.50231@RT_49.721,I_Palsa_E2,Irregular exchange,41.20107199,Labeled
