FeatureID,SampleID,Label
Acetate,I_Palsa_E1,Labeled
Acetate,I_Palsa_E2,Labeled
Acetate,II_Palsa_E1,Labeled
Acetate,II_Palsa_E2,Labeled
Acetate,III_Palsa_E1,Labeled
Acetate,III_Palsa_E2,Labeled
Acetate,PNE,Labeled
Acetone,I_Palsa_E1,Labeled
Acetone,I_Palsa_E2,Non_labeled
Acetone,II_Palsa_E1,Labeled
Acetone,II_Palsa_E2,Labeled
Acetone,III_Palsa_E1,Labeled
Acetone,III_Palsa_E2,Labeled
Acetone,PNE,Non_labeled
Alanine,I_Palsa_E1,Labeled
Alanine,I_Palsa_E2,Labeled
Alanine,II_Palsa_E1,Labeled
Alanine,II_Palsa_E2,Labeled
Alanine,III_Palsa_E1,Labeled
Alanine,III_Palsa_E2,Labeled
Alanine,PNE,Labeled
Asparagine,I_Palsa_E1,Non_labeled
Asparagine,I_Palsa_E2,Non_labeled
Asparagine,II_Palsa_E1,Non_labeled
Asparagine,II_Palsa_E2,Non_labeled
Asparagine,III_Palsa_E1,Non_labeled
Asparagine,III_Palsa_E2,Non_labeled
Asparagine,PNE,Labeled
Betaine,I_Palsa_E1,Labeled
Betaine,I_Palsa_E2,Labeled
Betaine,II_Palsa_E1,Labeled
Betaine,II_Palsa_E2,Labeled
Betaine,III_Palsa_E1,Labeled
Betaine,III_Palsa_E2,Labeled
Betaine,PNE,Labeled
Choline,I_Palsa_E1,Labeled
Choline,I_Palsa_E2,Labeled
Choline,II_Palsa_E1,Labeled
Choline,II_Palsa_E2,Labeled
Choline,III_Palsa_E1,Labeled
Choline,III_Palsa_E2,Labeled
Choline,PNE,Labeled
Dimethylamine,I_Palsa_E1,Labeled
Dimethylamine,I_Palsa_E2,Labeled
Dimethylamine,II_Palsa_E1,Non_labeled
Dimethylamine,II_Palsa_E2,Non_labeled
Dimethylamine,III_Palsa_E1,Non_labeled
Dimethylamine,III_Palsa_E2,Non_labeled
Dimethylamine,PNE,Non_labeled
Formate,I_Palsa_E1,Non_labeled
Formate,I_Palsa_E2,Non_labeled
Formate,II_Palsa_E1,Non_labeled
Formate,II_Palsa_E2,Non_labeled
Formate,III_Palsa_E1,Non_labeled
Formate,III_Palsa_E2,Non_labeled
Formate,PNE,Labeled
Fructose,I_Palsa_E1,Labeled
Fructose,I_Palsa_E2,Labeled
Fructose,II_Palsa_E1,Labeled
Fructose,II_Palsa_E2,Labeled
Fructose,III_Palsa_E1,Non_labeled
Fructose,III_Palsa_E2,Non_labeled
Fructose,PNE,Labeled
Fumarate,I_Palsa_E1,Non_labeled
Fumarate,I_Palsa_E2,Non_labeled
Fumarate,II_Palsa_E1,Non_labeled
Fumarate,II_Palsa_E2,Non_labeled
Fumarate,III_Palsa_E1,Non_labeled
Fumarate,III_Palsa_E2,Non_labeled
Fumarate,PNE,Labeled
Glucose,I_Palsa_E1,Labeled
Glucose,I_Palsa_E2,Labeled
Glucose,II_Palsa_E1,Labeled
Glucose,II_Palsa_E2,Labeled
Glucose,III_Palsa_E1,Labeled
Glucose,III_Palsa_E2,Labeled
Glucose,PNE,Labeled
Glutamine,I_Palsa_E1,Non_labeled
Glutamine,I_Palsa_E2,Non_labeled
Glutamine,II_Palsa_E1,Non_labeled
Glutamine,II_Palsa_E2,Non_labeled
Glutamine,III_Palsa_E1,Labeled
Glutamine,III_Palsa_E2,Labeled
Glutamine,PNE,Non_labeled
Leucine,I_Palsa_E1,Non_labeled
Leucine,I_Palsa_E2,Labeled
Leucine,II_Palsa_E1,Non_labeled
Leucine,II_Palsa_E2,Non_labeled
Leucine,III_Palsa_E1,Labeled
Leucine,III_Palsa_E2,Non_labeled
Leucine,PNE,Labeled
Methanol,I_Palsa_E1,Labeled
Methanol,I_Palsa_E2,Labeled
Methanol,II_Palsa_E1,Labeled
Methanol,II_Palsa_E2,Labeled
Methanol,III_Palsa_E1,Labeled
Methanol,III_Palsa_E2,Labeled
Methanol,PNE,Labeled
O-Phosphocholine,I_Palsa_E1,Labeled
O-Phosphocholine,I_Palsa_E2,Labeled
O-Phosphocholine,II_Palsa_E1,Labeled
O-Phosphocholine,II_Palsa_E2,Non_labeled
O-Phosphocholine,III_Palsa_E1,Labeled
O-Phosphocholine,III_Palsa_E2,Labeled
O-Phosphocholine,PNE,Non_labeled
Sucrose,I_Palsa_E1,Labeled
Sucrose,I_Palsa_E2,Labeled
Sucrose,II_Palsa_E1,Labeled
Sucrose,II_Palsa_E2,Labeled
Sucrose,III_Palsa_E1,Labeled
Sucrose,III_Palsa_E2,Non_labeled
Sucrose,PNE,Labeled
Threonine,I_Palsa_E1,Non_labeled
Threonine,I_Palsa_E2,Labeled
Threonine,II_Palsa_E1,Non_labeled
Threonine,II_Palsa_E2,Labeled
Threonine,III_Palsa_E1,Non_labeled
Threonine,III_Palsa_E2,Non_labeled
Threonine,PNE,Non_labeled
Trehalose,I_Palsa_E1,Labeled
Trehalose,I_Palsa_E2,Labeled
Trehalose,II_Palsa_E1,Non_labeled
Trehalose,II_Palsa_E2,Labeled
Trehalose,III_Palsa_E1,Labeled
Trehalose,III_Palsa_E2,Non_labeled
Trehalose,PNE,Non_labeled
